idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico,razaoSocialFundoAssociado
21464,4242,2183/2025,SRE/2182/2025,CVM/SRE/AUT/NOC/PRI/2025/112,Notas Comerciais,PRIMARIA,Oferta Encerrada,BALI BRASIL SERVICOS DE BANDA LARGA LTDA,53.799.731/0001-05,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"350.000.000,0000",23/07/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True,
21543,4242,2248/2025,SRE/2247/2025,CVM/SRE/AUT/FDC/PRI/2025/1158;CVM/SRE/AUT/FDC/PRI/2025/1159,Cotas de FIDC,PRIMARIA,Registro Concedido,TNB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61.868.687/0001-76,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,"85.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,TNB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA
21542,4242,2246/2025,SRE/2245/2025,CVM/SRE/AUT/FDC/PRI/2025/1155;CVM/SRE/AUT/FDC/PRI/2025/1156;CVM/SRE/AUT/FDC/PRI/2025/1157,Cotas de FIDC,PRIMARIA,Oferta Encerrada,NACIONAL 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA,61.753.889/0001-72,OLIVEIRA TRUST DTVM S.A.,36.113.876/0001-91,"237.500.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,NACIONAL 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA
21541,4242,2245/2025,SRE/2244/2025,CVM/SRE/AUT/FII/PRI/2025/189,Cotas de FII,PRIMARIA,Oferta Encerrada,HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,10.375.382/0001-91,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,07.253.654/0001-76,"7.182.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA
21540,4242,2244/2025,SRE/2243/2025,CVM/SRE/AUT/DEB/PRI/2025/535,Debêntures,PRIMARIA,Oferta Encerrada,Companhia Brasileira de Educação e Sistemas de Ensino S.A.,06.267.630/0001-03,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"600.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,False,False,True,
21536,4242,2242/2025,SRE/2241/2025,CVM/SRE/AUT/FIF/PRI/2025/133,Cotas de FIF,PRIMARIA,Registro Concedido,051 DISTRESSED III FUNDO DE INVESTIMENTO MULTIMERCADO,55.288.602/0001-88,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,"50.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,051 DISTRESSED III FUNDO DE INVESTIMENTO MULTIMERCADO
21442,4242,2173/2025,SRE/2172/2025,CVM/SRE/AUT/DEB/PRI/2025/534,Debêntures,PRIMARIA,Oferta Encerrada,COMPANHIA BRASILEIRA DE ALUMINIO,61.409.892/0001-73,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"530.000.000,0000",23/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True,
21531,4242,2241/2025,SRE/2240/2025,CVM/SRE/AUT/FDC/PRI/2025/1154,Cotas de FIDC,PRIMARIA,Registro Concedido,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EXT WARREN I DE RESPONSABILIDADE LIMITADA,56.806.240/0001-32,BANCO DAYCOVAL S.A.,62.232.889/0001-90,"15.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EXT WARREN I DE RESPONSABILIDADE LIMITADA
21532,4242,2240/2025,SRE/2239/2025,CVM/SRE/AUT/FDC/PRI/2025/1153,Cotas de FIDC,PRIMARIA,Registro Concedido,JUSTOO CRÉDITO JUDICIAL PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56.348.388/0001-70,PLANNER CORRETORA DE VALORES S.A.,00.806.535/0001-54,"3.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,JUSTOO CRÉDITO JUDICIAL PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
21342,4242,2239/2025,SRE/2238/2025,CVM/SRE/AUT/FIF/PRI/2025/132,Cotas de FIF,PRIMARIA,Registro Concedido,051 SPECIAL SITUATIONS III A FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,61.269.376/0001-90,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59.281.253/0001-23,"50.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,051 SPECIAL SITUATIONS III A FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
21529,4242,2238/2025,SRE/2237/2025,CVM/SRE/AUT/FDC/PRI/2025/1152,Cotas de FIDC,PRIMARIA,Oferta Encerrada,BRATISLAVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.462.450/0001-25,UTILITY GESTORA DE RECURSOS LTDA.,41.727.578/0001-21,"5.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,BRATISLAVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
21506,4242,2236/2025,SRE/2235/2025,CVM/SRE/AUT/FDC/PRI/2025/1151,Cotas de FIDC,PRIMARIA,Registro Concedido,MENTORE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57.691.078/0001-17,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39.669.186/0001-01,"10.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,MENTORE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
21505,4242,2235/2025,SRE/2234/2025,CVM/SRE/AUT/FDC/PRI/2025/1150,Cotas de FIDC,PRIMARIA,Registro Concedido,MENTORE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,57.691.078/0001-17,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,39.669.186/0001-01,"20.000.000,0000",23/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,MENTORE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS
